PARTICIPANT	STIMULUS	RATING_LIT	RATING_MOTION	SENTENCE	CONDITION	VERB	FREQ.ABS.BNC	FREQ.ABS.BNC.LOG2	QUESTNNR	SEX	AGE	MUSIC.EDU	EDU	LGE.EN	LING.EDU
506	LM01_03	3	3	The road arrives at an intersection.	fictive	arrive	13595	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_48	2	2	A dirt track leads through the woods.	fictive	lead	32588	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_06	2	2	The music arrives at the final chord.	music	arrive	13595	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_49	5	5	The tour guide led us down the hill.	literal	lead	32588	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_36	3	3	The saxophone motif returns.	music	return	21700	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_54	1	3	The flute line meanders through various keys.	music	meander	172	8	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_09	2	1	The bass line ascends.	music	ascend	327	9	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_57	1	1	The path crawls northwest to the mountains.	fictive	crawl	1071	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_59	2	1	The weeks crawled by.	metaphorical	crawl	1071	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_12	3	3	The path descends into the valley.	fictive	descend	1666	11	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_17	5	5	The soloist entered through the back door.	literal	enter	13904	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_21	1	1	The economy is racing towards another crisis.	metaphorical	race	3553	12	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_16	3	3	The road enters the rocky canyon.	fictive	enter	13904	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_43	3	3	The railway line passes through Darlington Newcastle and Berwick.	fictive	pass	19677	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_61	1	1	The road tumbles down through the woods.	fictive	tumble	836	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_47	2	1	The music passes through minor keys.	music	pass	19677	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_42	5	5	The conductor reached the concert venue.	literal	reach	22351	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_51	3	3	The introduction of the symphony leads to the next part.	music	lead	32588	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_32	5	5	The soprano rose from her chair.	literal	rise	14931	13	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_33	2	1	The road returns north along the west bank.	fictive	return	21700	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_11	3	3	Only a few women have ascended the professional hierarchy.	metaphorical	ascend	327	9	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_15	1	2	The melodic figure descends.	music	descend	1666	11	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_18	3	2	The first violin enters with a folkish melody.	music	enter	13904	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_41	3	3	The melody reaches a climax.	music	reach	22351	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_23	5	5	Ann raced to her piano recital.	literal	race	3553	12	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_29	4	4	Unemployment rises every year.	metaphorical	rise	14931	13	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_19	3	4	We are entering a new era.	metaphorical	enter	13904	14	literalnessAmTurk	male	39	2	BA	yes	1
